16.09.2017;16.3
17.09.2017;16.2
18.09.2017;16.2
19.09.2017;16
20.09.2017;16.1
21.09.2017;16.2
22.09.2017;16.4
23.09.2017;16.2
24.09.2017;16.1
25.09.2017;16.1
26.09.2017;16.1
27.09.2017;16
28.09.2017;16.1
29.09.2017;16.2
30.09.2017;16.1
01.10.2017;15.8
02.10.2017;15.4
03.10.2017;15.1
04.10.2017;14.6
05.10.2017;14
06.10.2017;13.4
07.10.2017;13
08.10.2017;13
09.10.2017;12.7
10.10.2017;12.6
11.10.2017;12.8
12.10.2017;13
13.10.2017;13
14.10.2017;13.2
15.10.2017;13.4
16.10.2017;13.6
17.10.2017;13.9
18.10.2017;14
19.10.2017;14
20.10.2017;13.8
21.10.2017;13.6
22.10.2017;13.5
23.10.2017;13.2
24.10.2017;13.1
25.10.2017;13.2
26.10.2017;13.2
27.10.2017;13
28.10.2017;12.4
29.10.2017;11.7
30.10.2017;10.8
31.10.2017;10.1
01.11.2017;10.1
02.11.2017;10.3
03.11.2017;10.3
04.11.2017;10.1
05.11.2017;9.9
06.11.2017;9.8
07.11.2017;9.6
08.11.2017;9.3
09.11.2017;9.1
10.11.2017;8.9
11.11.2017;8.4
12.11.2017;8
13.11.2017;7.8
14.11.2017;7.5
15.11.2017;7.5
16.11.2017;7.9
17.11.2017;7.9
18.11.2017;7.5
19.11.2017;6.9
20.11.2017;6.5
21.11.2017;6.4
22.11.2017;6.6
23.11.2017;6.7
24.11.2017;7
25.11.2017;7.1
26.11.2017;6.7
27.11.2017;6.1
28.11.2017;6
29.11.2017;5.9
30.11.2017;5.7
01.12.2017;5.4
02.12.2017;5.3
03.12.2017;5.1
04.12.2017;4.9
05.12.2017;5
06.12.2017;5.3
07.12.2017;5.4
08.12.2017;5.3
09.12.2017;4.9
10.12.2017;4.4
11.12.2017;3.9
12.12.2017;4
13.12.2017;3.9
14.12.2017;3.7
15.12.2017;3.7
16.12.2017;3.6
17.12.2017;3.5
18.12.2017;3.3
19.12.2017;3
20.12.2017;3.1
21.12.2017;3.5
22.12.2017;3.9
23.12.2017;4.1
24.12.2017;4.6
25.12.2017;5.2
26.12.2017;5.1
27.12.2017;4.6
28.12.2017;4.4
29.12.2017;4.1
30.12.2017;3.7
31.12.2017;4
